date,close,day_ret_pct,any_pass,best_tf,best_score,fail_gates
2026-01-02,144500.0,13.42229199372056,True,1W,5,
2026-01-05,167300.0,15.778546712802765,False,1W,4,touch
2026-01-06,183700.0,9.802749551703528,False,1W,4,touch
2026-01-07,186500.0,1.5242242787153026,False,1W,4,touch
2026-01-08,185700.0,-0.428954423592498,False,1W,4,touch
2026-01-09,176300.0,-5.06192784060312,False,1W,4,touch
2026-01-12,167600.0,-4.934770277935341,False,1W,4,touch
2026-01-13,173200.0,3.341288782816232,False,1W,4,touch
2026-01-14,177800.0,2.655889145496526,False,1W,4,touch
2026-01-15,180000.0,1.2373453318335281,False,1W,4,touch
2026-01-16,178500.0,-0.8333333333333304,False,1W,4,touch
2026-01-19,177500.0,-0.5602240896358524,False,1W,4,touch
2026-01-20,172100.0,-3.0422535211267587,False,1W,4,touch
2026-01-21,172200.0,0.05810575246949501,False,1W,4,touch
2026-01-22,170400.0,-1.0452961672473893,False,1W,4,touch
2026-01-23,171100.0,0.4107981220657253,False,1W,4,touch
2026-01-26,169500.0,-0.9351256575102274,False,1W,4,touch
2026-01-27,174800.0,3.126843657817102,False,1W,4,touch
2026-01-28,182000.0,4.118993135011451,False,1W,4,touch
2026-01-29,203500.0,11.813186813186816,False,1W,4,touch
2026-01-30,211000.0,3.6855036855036882,False,1W,4,touch
2026-02-02,187100.0,-11.327014218009479,False,1W,4,touch
2026-02-03,199300.0,6.520577231427049,False,1W,4,touch
2026-02-04,202500.0,1.6056196688409408,False,1W,4,touch
2026-02-05,193500.0,-4.444444444444439,False,1W,4,touch
2026-02-06,196000.0,1.2919896640826822,False,1W,4,touch
2026-02-09,197800.0,0.9183673469387754,False,1W,4,touch
2026-02-10,194900.0,-1.4661274014155734,False,1W,4,touch
2026-02-11,190500.0,-2.257567983581321,False,1W,4,touch
2026-02-12,209500.0,9.973753280839892,False,1W,4,touch
2026-02-13,202500.0,-3.341288782816232,False,1W,4,touch
2026-02-19,201500.0,-0.4938271604938316,False,1W,4,touch
2026-02-20,200500.0,-0.496277915632759,False,1W,4,touch
2026-02-23,204000.0,1.74563591022443,False,1W,4,touch
2026-02-24,210000.0,2.941176470588225,False,1W,4,touch
2026-02-25,214500.0,2.1428571428571352,False,1W,4,touch
