변수,winners_평균,winners_중앙값,losers_평균,losers_중앙값,비율(W/L_중앙값)
body_pct,8.017774617897974,8.027189020152885,6.4410503161211325,6.282007511095943,1.2778063391319447
wick,0.9637671638451784,0.9703592713417466,0.9626927244940569,0.9687500000000006,1.001661183320512
breakout_pct,-1.9815483868616979,4.172456117711664,-0.8390182730384563,0.533515731874147,7.820680569351833
vol_surge_24h_x,5.394037234125673,5.208104674162811,6.738934979039353,3.3791304253676353,1.5412558908838778
vol_surge_168h_x,5.36049561613825,5.361446086237521,6.470537792664843,4.373806959717876,1.2258076626645065
trg_vs_max_168h_x,0.7971020659962011,0.6456178405041721,0.6985004965450862,0.5027814516217219,1.284092399235754
burst_count,1.0,1.0,2.6595744680851063,2.0,0.5
p168_cum_ret_pct,11.290654931340894,15.801684112439164,7.492446432543599,6.090909090909095,2.5943063468183682
p168_close_cv,0.0617276670189941,0.06369770689299567,0.04405248813279302,0.039640726741361695,1.6068753559589153
trg_amount_USD,130170.46304,126671.47369000001,700380.0555919149,149898.0928994,0.8450506023116124
p168_amount_sum_USD,4267289.769425,4097734.130435,34812235.58635695,5123254.623199999,0.799830270367383
