feature,win_n,win_mean,win_med,lose_n,lose_mean,lose_med,diff_WL
ma1d_slope_change_28d,1819,0.6118675385557935,0.4123446462715106,2572,0.02412260377356298,-0.0210539145510919,0.5877449347822304
ma1d_monotonic_14d,1965,0.9591462735737545,1.0,2754,0.6317439288299854,0.7142857142857143,0.32740234474376906
ma1d_slope_change_14d,1918,0.39139972989363275,0.2969806049630661,2636,0.08070995043281445,0.04792818988837977,0.3106897794608183
min_low_pct_28d,1965,-0.11340671977983635,-0.07398753894080978,2754,-0.30775764477362605,-0.27357106083151883,0.1943509249937897
min_low_pct_14d,1965,-0.05583914122642435,-0.03528814419903514,2754,-0.23566955720973087,-0.20904530773343577,0.1798304159833065
ma1d_smoothness_14d,1965,0.008152049407859997,0.006386911015853736,2754,0.0073493670240460125,0.006032474923779363,0.0008026823838139848
