feature,win_n,win_mean,win_median,lose_n,lose_mean,lose_median,mean_diff_WL,median_diff_WL,abs_mean_diff
pre_vol_quiet_ratio,1958,13.641115824888486,5.147316861558603,2801,14.221974521569054,5.394168818790388,-0.5808586966805684,-0.24685195723178488,0.5808586966805684
vs_72h_low_pct,1958,0.24173363161370554,0.18827499450094154,2801,0.2673767179590843,0.19623389494549048,-0.025643086345378763,-0.007958900444548944,0.025643086345378763
pre_consec_up_h,1958,1.754341164453524,1.0,2801,1.7311674401999286,1.0,0.02317372425359543,0.0,0.02317372425359543
upper_wick_ratio,1958,0.18230975497456095,0.1479501772323516,2801,0.19044795800575912,0.15495086923658383,-0.008138203031198166,-0.0070006920042322285,0.008138203031198166
body_to_range,1958,0.7531794375904708,0.7788300722578554,2801,0.7453505787883891,0.7673267326732681,0.007828858802081728,0.011503339584587269,0.007828858802081728
vs_24h_high_pct,1958,0.03265641367604762,0.02900043069629732,2801,0.03955710548989615,0.029671665991082286,-0.006900691813848524,-0.0006712352947849665,0.006900691813848524
pre_24h_range_pct,1958,0.11496316818189409,0.09725254354584024,2801,0.12100661113698966,0.09752828903995596,-0.006043442955095568,-0.0002757454941157145,0.006043442955095568
close_to_high_pct,1958,0.016076722891339865,0.00927899271154455,2801,0.019431393584178645,0.0106263982102909,-0.00335467069283878,-0.0013474054987463492,0.00335467069283878
next_avg_vol_ratio,1958,0.7684415276136508,0.5133607159676659,2801,0.7664298934965317,0.5102186095949257,0.002011634117119132,0.00314210637274015,0.002011634117119132
next_body_sum,1958,0.001414825291554973,-0.004480454957302807,2801,0.0027909598107747104,-0.004485660440892566,-0.0013761345192197373,5.205483589758829e-06,0.0013761345192197373
next_max_close_above,1958,0.023259430305127164,0.009640021656271869,2801,0.024567537693120364,0.010805943268797913,-0.0013081073879931994,-0.001165921612526044,0.0013081073879931994
lower_wick_ratio,1958,0.06451080743496825,0.03970108292538121,2801,0.06420146320585189,0.03341902313624686,0.00030934422911635395,0.006282059789134348,0.00030934422911635395
