,KOSPI,시총_조,GDP_조,시총GDP_%,거래대금_주간_조,거래대금_일평균_조,신용잔고_조,예탁금_조,외인비중_%
2016-01-08,1917.62,1213.738732721558,1742.0,69.6750133594465,24.647062882072,4.9294125764144,6.5883,21.477,49.26
2016-01-15,1878.87,1188.669434610932,1742.0,68.23590324976648,21.335961152821,4.2671922305642,6.6498,21.4247,49.11
2016-01-22,1879.43,1190.177921491724,1742.0,68.3224983634744,23.187846021917,4.6375692043834,6.6843,20.3985,49.0
2016-01-29,1912.06,1207.45768975375,1742.0,69.31444832111079,26.31226994897,5.2624539897939995,6.6612,20.4281,49.73
2016-02-05,1917.79,1212.176289047185,1742.0,69.58532084082579,24.661286140102998,4.9322572280206,6.7519,20.8215,49.74
2016-02-12,1835.28,1160.328509968555,1742.0,66.60898449876895,11.109113411079,5.5545567055395,6.6742,21.9341,49.66
2016-02-19,1916.24,1211.528782209107,1742.0,69.54815052865138,22.623557543502,4.5247115087004,6.2514,20.0704,49.57
2016-02-26,1920.16,1215.116614083594,1742.0,69.75411102661275,19.849843980724,3.9699687961448,6.3486,21.3662,49.51
2016-03-04,1955.63,1238.204596472047,1742.0,71.07948314994529,19.380861912098,4.8452154780245,6.3821,21.2933,49.58
2016-03-11,1971.41,1248.05584175137,1742.0,71.64499665622101,23.231330930244,4.6462661860488,6.5854,20.8887,49.61
2016-03-18,1992.12,1261.477235485594,1742.0,72.41545553878267,22.026380720562003,4.405276144112401,6.7156,21.0344,49.61
2016-03-25,1983.81,1256.783616932081,1742.0,72.14601704546963,20.185554393325,4.037110878665,6.7804,21.0818,49.61
2016-04-01,1973.57,1250.637257564372,1742.0,71.7931835570822,22.430163905239,4.4860327810478,6.8394,22.0608,49.49
2016-04-08,1972.05,1249.066943075189,1742.0,71.70303921212337,21.878885376942,4.375777075388401,7.0298,21.5268,49.51
2016-04-15,2014.71,1276.212676495883,1742.0,73.26134767484977,18.736878394186,4.6842195985465,7.0721,21.8634,49.53
2016-04-22,2015.49,1276.83600759825,1742.0,73.29713017211539,22.422599615705,4.484519923141,7.069,22.7016,49.61
2016-04-29,1994.15,1261.953135802951,1742.0,72.44277473036458,25.898694179091002,5.179738835818201,7.1458,22.8926,49.68
2016-05-06,1976.71,1248.353738248806,1742.0,71.6620974884504,12.748777442016,4.249592480672,7.1565,23.3251,50.49
2016-05-13,1966.99,1242.517729680468,1742.0,71.32707977499815,23.301651633096,4.6603303266192,7.1911,22.7546,50.46
2016-05-20,1947.67,1230.691699936373,1742.0,70.64820321104322,26.855422339082,5.3710844678164005,7.1624,21.4367,50.45
2016-05-27,1969.17,1246.219400437271,1742.0,71.53957522602015,24.539216646102,4.9078433292204,7.118,22.579,50.46
2016-06-03,1985.84,1258.220250300847,1742.0,72.22848738810833,29.558686290464998,5.911737258093,7.0837,22.5333,50.46
2016-06-10,2017.63,1278.075773664021,1742.0,73.36829929184965,24.119346429242,6.0298366073105,7.1844,24.3668,50.59
2016-06-17,1953.4,1238.327356370601,1742.0,71.0865302164524,23.325950637578,4.6651901275156,7.2833,26.1809,50.68
2016-06-24,1925.24,1221.280861915368,1742.0,70.1079714073116,25.641155268376,5.1282310536752,7.1795,23.8651,50.48
2016-07-01,1987.32,1261.23696386331,1742.0,72.40166267872044,24.145649388339002,4.829129877667801,6.798,25.4615,50.4
2016-07-08,1963.1,1245.831577055614,1742.0,71.51731211570689,21.118866948626,4.2237733897252,7.0166,22.9195,50.43
2016-07-15,2017.26,1285.347839174708,1742.0,73.78575425801998,22.572870300124002,4.514574060024801,7.1989,23.2662,50.61
2016-07-22,2010.34,1280.788528877836,1742.0,73.52402576795843,18.665054224707,3.7330108449413997,7.4034,23.1041,50.71
2016-07-29,2016.19,1283.158113811986,1742.0,73.6600524576341,21.991298159263,4.3982596318526,7.5044,22.684,51.23
2016-08-05,2017.94,1285.888530139679,1742.0,73.81679277495287,21.339640159629,4.2679280319258,7.5916,22.0766,51.22
2016-08-12,2050.47,1305.975256940125,1742.0,74.96987697704508,22.138652360522002,4.4277304721044,7.6312,22.4965,51.09
2016-08-19,2056.24,1311.350304855587,1742.0,75.27843311455723,18.680991028056,4.670247757014,7.6955,22.8321,51.07
2016-08-26,2037.5,1298.67390523549,1742.0,74.55074082867337,20.926666340823,4.1853332681646,7.7524,23.5032,50.8
2016-09-02,2038.31,1298.805435403183,1742.0,74.55829135494736,21.45822850912,4.291645701824001,7.5722,21.7813,50.72
2016-09-09,2037.87,1298.073356671366,1742.0,74.516266169424,23.295496014303,4.659099202860601,7.6828,22.5833,50.73
2016-09-16,1999.36,1273.899302334215,1742.0,73.12854778037973,9.962484623708,4.981242311854,7.5986,22.4148,50.79
2016-09-23,2054.07,1308.797963159832,1742.0,75.13191522157474,22.077363850862,4.4154727701724,7.639,22.2505,50.76
2016-09-30,2043.63,1301.803836991218,1742.0,74.73041544151654,22.732867739455,4.546573547891,7.679,21.934,50.71
2016-10-07,2053.8,1309.944963478097,1742.0,75.19775909747973,20.11077778698,5.027694446745,7.6581,21.7674,50.74
2016-10-14,2022.66,1286.279150905462,1742.0,73.83921646988875,23.536683861073,4.7073367722146005,7.6776,21.5527,50.8
2016-10-21,2033.0,1294.145302917819,1742.0,74.29077513879558,19.199627741501,3.8399255483002,7.6374,20.9717,50.88
2016-10-28,2019.42,1286.551478543043,1742.0,73.854849514526,22.451498242097998,4.490299648419599,7.4194,22.6201,50.88
2016-11-04,1982.02,1262.607501641418,1742.0,72.48033878538564,20.125672824125,4.0251345648250005,7.0569,21.3901,50.85
2016-11-11,1984.43,1272.531403108191,1742.0,73.05002314053908,27.533421728756,5.5066843457512,6.739,22.3359,50.73
2016-11-18,1974.58,1269.989910390091,1742.0,72.90412803617055,23.132267292741,4.6264534585482,6.9278,21.9897,50.64
2016-11-25,1974.46,1268.948459955797,1742.0,72.84434328104462,18.595885715502,3.7191771431004,6.842,21.6016,50.69
2016-12-02,1970.61,1269.07466867189,1742.0,72.85158832789266,20.846745110822,4.1693490221644,6.7252,22.7953,50.9
2016-12-09,2024.69,1304.217186574015,1742.0,74.86895445315814,19.296088018035,3.859217603607,6.5184,20.8967,50.81
2016-12-16,2042.24,1317.717852191839,1742.0,75.64396396049592,18.54050196815,3.70810039363,6.5774,21.5958,50.76
2016-12-23,2035.9,1313.648968487047,1742.0,75.41038854690281,15.992769729123,3.1985539458246,6.7516,21.1809,50.71
2016-12-30,2026.46,1308.440373892236,1742.0,75.11138770908359,12.192165409599,3.04804135239975,6.751,22.7544,50.76
2017-01-06,2049.12,1322.374577851837,1836.0,72.02475914225693,18.432221045435,3.686444209087,6.9594,21.2795,50.81
2017-01-13,2076.79,1340.353348332899,1836.0,73.00399500723852,21.736895743249,4.3473791486498,7.1605,23.2173,50.8
2017-01-20,2065.61,1335.497553025401,1836.0,72.73951813863839,21.258425114167,4.2516850228334,7.1845,21.1371,50.71
2017-01-27,2083.59,1349.672534695962,1836.0,73.51157596383236,16.210369150481,4.05259228762025,7.1045,21.2503,50.71
2017-02-03,2073.16,1341.966582067738,1836.0,73.09186176839532,19.749562332148,4.937390583037,7.0858,21.365,50.7
2017-02-10,2075.08,1342.535858009822,1836.0,73.12286808332364,21.694176106432998,4.338835221286599,6.9794,21.2358,50.59
2017-02-17,2080.58,1345.08924908427,1836.0,73.26194167125654,22.299460526334002,4.459892105266801,6.9782,21.0025,50.53
2017-02-24,2094.12,1353.364623048572,1836.0,73.71267010068475,21.313203121071,4.2626406242142,7.0607,21.6281,50.51
2017-03-03,2078.75,1344.318883062552,1836.0,73.21998273761177,20.523242016412,5.130810504103,7.0422,21.9606,50.59
2017-03-10,2097.35,1356.493259384904,1836.0,73.88307512989672,23.816813871973,4.7633627743946,6.9744,21.6923,50.7
2017-03-17,2164.58,1401.543224817967,1836.0,76.33677695086966,25.064122595684,5.0128245191368,7.0832,22.1837,50.65
2017-03-24,2168.95,1403.733237719955,1836.0,76.45605869934396,25.602892293026002,5.1205784586052,7.1724,22.3506,50.52
2017-03-31,2160.23,1400.961584517266,1836.0,76.30509719592952,24.778114624822,4.9556229249644,7.2167,21.7682,50.33
2017-04-07,2151.73,1395.556937389044,1836.0,76.01072643731176,21.943533683087,4.3887067366174,7.2353,22.1583,50.31
2017-04-14,2134.88,1385.279447051229,1836.0,75.45095027512141,20.034583889818002,4.006916777963601,7.2112,22.4236,50.29
2017-04-21,2165.04,1401.852010106952,1836.0,76.35359532172941,22.584386442422,4.5168772884844,7.2792,23.8542,50.53
2017-04-28,2205.44,1430.87363791124,1836.0,77.93429400388017,27.41261722666,5.482523445332,7.2264,24.8932,50.67
2017-05-05,2241.24,1454.577898931354,1836.0,79.22537575878835,9.617259566352,4.808629783176,7.2988,23.2211,50.68
2017-05-12,2286.02,1503.064884660116,1836.0,81.86627912092135,30.568857367062,7.6422143417655,7.3221,23.9302,50.55
2017-05-19,2288.48,1505.298599846953,1836.0,81.9879411681347,28.74345040544,5.748690081088,7.5278,23.8164,50.49
2017-05-26,2355.3,1524.82578188804,1836.0,83.05151317472983,29.542479423642,5.9084958847284,7.7014,24.0134,54.0
2017-06-02,2371.72,1535.433298027342,1836.0,83.62926459843911,31.043550681078,6.2087101362156,7.8546,25.2049,53.98
2017-06-09,2381.69,1542.99736788413,1836.0,84.04125097408115,27.102933769034,6.7757334422585,8.0275,24.327,54.02
2017-06-16,2361.83,1530.672371039296,1836.0,83.36995484963485,30.090793900188,6.0181587800376,8.3163,25.2412,53.97
2017-06-23,2378.6,1541.919022497927,1836.0,83.98251756524657,31.723955414757,6.3447910829514,8.4386,24.0684,54.04
2017-06-30,2391.79,1549.261008077597,1836.0,84.38240784736367,28.325217485604,5.6650434971208,8.5215,23.8719,53.94
2017-07-07,2379.87,1540.538452549232,1836.0,83.90732312359651,24.762005874795,4.952401174959,8.4822,23.3462,53.89
2017-07-14,2414.63,1571.230353535404,1836.0,85.57899529059935,26.677796195079,5.3355592390158,8.4311,23.5319,53.91
2017-07-21,2450.06,1592.877223539003,1836.0,86.75801871127466,25.490403922767,5.0980807845534,8.5169,24.2631,53.85
2017-07-28,2400.99,1559.499858093074,1836.0,84.9400794168341,28.934588565403,5.7869177130806,8.6032,25.4088,53.59
2017-08-04,2395.45,1552.978143451478,1836.0,84.58486620106089,28.182970075188003,5.6365940150376,8.4735,24.2507,53.91
2017-08-11,2319.71,1503.62680052981,1836.0,81.89688456044718,26.362162512687,5.2724325025374,8.3793,24.1086,53.64
2017-08-18,2358.37,1532.77821037925,1836.0,83.48465198144062,19.918047799497998,4.9795119498744995,8.1734,23.7495,53.51
2017-08-25,2378.51,1544.7540344232,1836.0,84.13692997947713,21.378431838562,4.2756863677124,8.2617,23.2503,53.43
2017-09-01,2357.69,1532.592218349696,1836.0,83.47452169660653,23.279592940907,4.6559185881814,8.3298,24.0844,53.38
2017-09-08,2343.72,1524.638754908464,1836.0,83.04132652006885,23.996663569083,4.7993327138166,8.4028,23.4038,53.31
2017-09-15,2386.07,1552.34285684746,1836.0,84.55026453417538,29.143633594023,5.8287267188046,8.471,24.3832,53.27
2017-09-22,2388.71,1555.336611718071,1836.0,84.71332307832631,28.060566470985002,5.612113294197,8.6812,24.4386,53.34
2017-09-29,2394.47,1558.243982037365,1836.0,84.87167658155582,24.687425179658,4.9374850359316,8.2907,23.1398,53.13
2017-10-13,2473.62,1610.209162365154,1836.0,87.70202409396263,26.700024184144,6.675006046036,8.2952,24.541,53.36
