Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2016-03-08,23840,142.319615992,,,30500,22.2040721325,,
2016-03-09,23880,142.558407294,,,30550,22.24047225075,,
2016-03-10,24500,146.259672475,,,30300,22.0584716595,,
2016-03-11,24980,149.125168099,,,30700,22.3496726055,,
2016-03-14,25100,149.841542005,,,30350,22.09487177775,,
2016-03-15,25060,149.602750703,,,29900,21.7672707135,,
2016-03-16,25120,149.960937656,,,29200,21.257669058,,
2016-03-17,25260,150.796707213,,,29250,21.29406917625,,
2016-03-18,25460,151.990663723,,,29450,21.43966964925,,
2016-03-21,25340,151.274289817,,,29550,21.51246988575,,
2016-03-22,25380,151.513081119,,,30200,21.985671423,,
2016-03-23,25580,152.707037629,,,30250,22.02207154125,,
2016-03-24,25640,153.065224582,,,29450,21.43966964925,,
2016-03-25,25760,153.781598488,,,29150,21.22126893975,,
2016-03-28,25880,154.497972394,,,28550,20.78446752075,,
2016-03-29,25800,154.02038979,,,28900,21.0392683485,,
2016-03-30,26160,156.169511508,,,28650,20.85726775725,,
2016-03-31,26240,156.647094112,,,28150,20.49326657475,,
2016-04-01,25580,152.707037629,,,28200,20.529666693,,
2016-04-04,26100,155.811324555,,,27900,20.3112659835,,
2016-04-05,25200,150.43852026,,,27850,20.27486586525,,
2016-04-06,25700,153.423411535,,,27500,20.0200650375,,
2016-04-07,25380,151.513081119,,,26900,19.5832636185,,
2016-04-08,24920,148.766981146,,,27800,20.238465747,,
2016-04-11,25320,151.154894166,,,27150,19.76526420975,,
2016-04-12,25500,152.229455025,,,27150,19.76526420975,,
2016-04-14,26000,155.2143463,,,27250,19.83806444625,,
2016-04-15,26000,155.2143463,,,27650,20.12926539225,,
2016-04-18,25980,155.094950649,,,27200,19.801664328,,
2016-04-19,25760,153.781598488,,,27450,19.98366491925,,
2016-04-20,25980,155.094950649,,,27550,20.05646515575,,
2016-04-21,25880,154.497972394,,,27550,20.05646515575,,
2016-04-22,25600,152.82643328,,,27500,20.0200650375,,
2016-04-25,25620,152.945828931,,,27500,20.0200650375,,
2016-04-26,25920,154.736763696,,,29150,21.22126893975,,
2016-04-27,26000,155.2143463,,,29150,21.22126893975,,
2016-04-28,25300,151.035498515,,,27900,20.3112659835,,
2016-04-29,24900,148.647585495,,,28150,20.49326657475,,
2016-05-02,25000,149.24456375,,,27850,20.27486586525,,
2016-05-03,25220,150.557915911,,,27650,20.12926539225,,
2016-05-04,25800,154.02038979,,,26650,19.40126302725,,
2016-05-09,25980,155.094950649,,,25750,18.74606089875,,
2016-05-10,25920,154.736763696,,,26400,19.219262436,,
2016-05-11,25840,154.259181092,,,26200,19.073661963,,
2016-05-12,25620,152.945828931,,,26100,19.0008617265,,
2016-05-13,25060,149.602750703,,,26100,19.0008617265,,
2016-05-16,24960,149.005772448,,,26100,19.0008617265,,
2016-05-17,25280,150.916102864,,,25900,18.8552612535,,
2016-05-18,25360,151.393685468,,,26200,19.073661963,,
2016-05-19,25400,151.63247677,,,26600,19.364862909,,
2016-05-20,25380,151.513081119,,,26300,19.1464621995,,
2016-05-23,25720,153.542807186,,,27200,19.801664328,,
2016-05-24,25420,151.751872421,,,26850,19.54686350025,,
2016-05-25,25900,154.617368045,,,27050,19.69246397325,,
2016-05-26,25920,154.736763696,,,27000,19.656063855,,
2016-05-27,25640,153.065224582,,,28650,20.85726775725,,
2016-05-30,25600,152.82643328,,,29000,21.112068585,,
2016-05-31,25840,154.259181092,,,28700,20.8936678755,,
2016-06-01,26660,159.154402783,,,28500,20.7480674025,,
2016-06-02,27300,162.975063615,,,28050,20.42046633825,,
2016-06-03,27540,164.407811427,,,27600,20.092865274,,
2016-06-07,27960,166.915120098,,,28650,20.85726775725,,
2016-06-08,28120,167.870285306,,,28550,20.78446752075,,
2016-06-09,28600,170.73578093,,,29000,21.112068585,,
2016-06-10,28120,167.870285306,,,29000,21.112068585,,
2016-06-13,27420,163.691437521,,,28350,20.63886704775,,
2016-06-14,27600,164.76599838,,,29050,21.14846870325,,
