,KOSPI_close,KOSPI_marcap_조,외인_주간_순매수_억,개인_주간_순매수_억,기관_주간_순매수_억,금융투자_주간_순매수_억,외인_누적_조,삼성전자_외인비중_%
2016-01-08,1917.62,1213.7,-5999.0,6725.0,-1852.0,-6333.0,-0.6,49.26
2016-01-15,1878.87,1188.7,-9744.0,7599.0,2808.0,-2638.0,-1.6,49.11
2016-01-22,1879.43,1190.2,-13085.0,1720.0,10733.0,3350.0,-2.9,49.0
2016-01-29,1912.06,1207.5,-840.0,-4524.0,19684.0,2825.0,-3.0,49.73
2016-02-05,1917.79,1212.2,1059.0,-6000.0,6839.0,5628.0,-2.9,49.74
2016-02-12,1835.28,1160.3,-4679.0,-1473.0,4902.0,3010.0,-3.3,49.66
2016-02-19,1916.24,1211.5,1863.0,-9940.0,4422.0,1628.0,-3.1,49.57
2016-02-26,1920.16,1215.1,2689.0,-439.0,359.0,1590.0,-2.9,49.51
2016-03-04,1955.63,1238.2,12037.0,-8251.0,-5722.0,866.0,-1.7,49.58
2016-03-11,1971.41,1248.1,8821.0,-1309.0,-10182.0,-4462.0,-0.8,49.61
2016-03-18,1992.12,1261.5,12573.0,-1400.0,-9556.0,-64.0,0.5,49.61
2016-03-25,1983.81,1256.8,2859.0,-667.0,-5788.0,-112.0,0.8,49.61
2016-04-01,1973.57,1250.6,-2487.0,310.0,-408.0,3495.0,0.5,49.49
2016-04-08,1972.05,1249.1,3730.0,4539.0,-11643.0,-9437.0,0.9,49.51
2016-04-15,2014.71,1276.2,7535.0,-9081.0,-321.0,1124.0,1.6,49.53
2016-04-22,2015.49,1276.8,6548.0,-5093.0,-950.0,1504.0,2.3,49.61
2016-04-29,1994.15,1262.0,3863.0,1454.0,-5486.0,-1498.0,2.7,49.68
2016-05-06,1976.71,1248.4,2270.0,5466.0,-8452.0,-8711.0,2.9,50.49
2016-05-13,1966.99,1242.5,-1126.0,4541.0,-4970.0,-2846.0,2.8,50.46
2016-05-20,1947.67,1230.7,-1510.0,1688.0,-1807.0,767.0,2.6,50.45
2016-05-27,1969.17,1246.2,2250.0,-5964.0,2333.0,769.0,2.9,50.46
2016-06-03,1985.84,1258.2,4895.0,-4601.0,422.0,-3927.0,3.4,50.46
2016-06-10,2017.63,1278.1,9555.0,-10925.0,32.0,10908.0,4.3,50.59
2016-06-17,1953.4,1238.3,-3328.0,6779.0,-4643.0,-4105.0,4.0,50.68
2016-06-24,1925.24,1221.3,-1840.0,-5710.0,5030.0,-81.0,3.8,50.48
2016-07-01,1987.32,1261.2,1042.0,-2384.0,1597.0,-2456.0,3.9,50.4
2016-07-08,1963.1,1245.8,-441.0,6974.0,-9040.0,-555.0,3.9,50.43
2016-07-15,2017.26,1285.3,18999.0,-10969.0,-8802.0,-1602.0,5.8,50.61
2016-07-22,2010.34,1280.8,8330.0,609.0,-9008.0,-79.0,6.6,50.71
2016-07-29,2016.19,1283.2,10372.0,-4128.0,-5941.0,970.0,7.6,51.23
2016-08-05,2017.94,1285.9,5580.0,1033.0,-8555.0,-4042.0,8.2,51.22
2016-08-12,2050.47,1306.0,6348.0,-8595.0,916.0,7675.0,8.8,51.09
2016-08-19,2056.24,1311.4,4531.0,516.0,-6466.0,-4108.0,9.3,51.07
2016-08-26,2037.5,1298.7,-7204.0,829.0,44.0,889.0,8.5,50.8
2016-09-02,2038.31,1298.8,2292.0,-1224.0,-758.0,-1952.0,8.8,50.72
2016-09-09,2037.87,1298.1,7493.0,-2765.0,-4474.0,-170.0,9.5,50.73
2016-09-16,1999.36,1273.9,293.0,3873.0,-5520.0,-4820.0,9.6,50.79
2016-09-23,2054.07,1308.8,3140.0,-1973.0,-7905.0,-7824.0,9.9,50.76
2016-09-30,2043.63,1301.8,-865.0,-165.0,-375.0,3424.0,9.8,50.71
2016-10-07,2053.8,1309.9,3071.0,2537.0,-5845.0,-5561.0,10.1,50.74
2016-10-14,2022.66,1286.3,-7060.0,-1963.0,8585.0,9417.0,9.4,50.8
2016-10-21,2033.0,1294.1,8572.0,-5391.0,-3391.0,-4424.0,10.2,50.88
2016-10-28,2019.42,1286.6,-694.0,-3325.0,3930.0,1223.0,10.2,50.88
2016-11-04,1982.02,1262.6,-3957.0,-5119.0,8770.0,5787.0,9.8,50.85
2016-11-11,1984.43,1272.5,-8906.0,-4146.0,12212.0,7763.0,8.9,50.73
2016-11-18,1974.58,1270.0,-4337.0,2736.0,313.0,-2664.0,8.5,50.64
2016-11-25,1974.46,1268.9,4467.0,-4184.0,5097.0,3286.0,8.9,50.69
2016-12-02,1970.61,1269.1,9564.0,606.0,-7718.0,-6575.0,9.9,50.9
2016-12-09,2024.69,1304.2,2367.0,-12331.0,10169.0,4989.0,10.1,50.81
2016-12-16,2042.24,1317.7,4380.0,-2279.0,-2850.0,1492.0,10.5,50.76
2016-12-23,2035.9,1313.6,-91.0,-1181.0,1265.0,4594.0,10.5,50.71
