,KOSPI_close,KOSPI_marcap_조,외인_주간_순매수_억,개인_주간_순매수_억,기관_주간_순매수_억,금융투자_주간_순매수_억,외인_누적_조,삼성전자_외인비중_%
2016-12-30,2026.46,1308.4,3160.0,906.0,-4127.0,-6834.0,10.8,50.76
2017-01-06,2049.12,1322.4,6693.0,1913.0,-9193.0,-5879.0,11.5,50.81
2017-01-13,2076.79,1340.4,7620.0,-1986.0,-6092.0,-231.0,12.3,50.8
2017-01-20,2065.61,1335.5,-1662.0,202.0,1175.0,7584.0,12.1,50.71
2017-01-27,2083.59,1349.7,6762.0,-1298.0,-6718.0,-5800.0,12.8,50.71
2017-02-03,2073.16,1342.0,-3521.0,2173.0,-649.0,2209.0,12.4,50.7
2017-02-10,2075.08,1342.5,-4437.0,-2777.0,4978.0,3575.0,12.0,50.59
2017-02-17,2080.58,1345.1,3078.0,-10320.0,5382.0,2577.0,12.3,50.53
2017-02-24,2094.12,1353.4,6616.0,-3285.0,-3651.0,-3865.0,13.0,50.51
2017-03-03,2078.75,1344.3,4861.0,-1496.0,-5558.0,-8642.0,13.4,50.59
2017-03-10,2097.35,1356.5,11045.0,-1464.0,-12559.0,-13426.0,14.5,50.7
2017-03-17,2164.58,1401.5,15174.0,-5787.0,-11911.0,-6156.0,16.1,50.65
2017-03-24,2168.95,1403.7,1446.0,-2837.0,-1196.0,2611.0,16.2,50.52
2017-03-31,2160.23,1401.0,1129.0,100.0,-3492.0,-29.0,16.3,50.33
2017-04-07,2151.73,1395.6,-3060.0,4268.0,-2743.0,-2996.0,16.0,50.31
2017-04-14,2134.88,1385.3,-1850.0,-68.0,1155.0,3081.0,15.8,50.29
2017-04-21,2165.04,1401.9,-229.0,-6859.0,7290.0,4636.0,15.8,50.53
2017-04-28,2205.44,1430.9,12730.0,-4905.0,-7901.0,-4559.0,17.1,50.67
2017-05-05,2241.24,1454.6,4945.0,-2006.0,-3808.0,626.0,17.6,50.68
2017-05-12,2286.02,1503.1,4490.0,-8443.0,2772.0,17214.0,18.0,50.55
2017-05-19,2288.48,1505.3,2113.0,1359.0,-2121.0,5678.0,18.2,50.49
2017-05-26,2355.3,1524.8,5508.0,-10506.0,2823.0,4695.0,18.8,54.0
2017-06-02,2371.72,1535.4,533.0,-1375.0,-892.0,6122.0,18.8,53.98
2017-06-09,2381.69,1543.0,8249.0,524.0,-11151.0,-4010.0,19.7,54.02
2017-06-16,2361.83,1530.7,-3497.0,7435.0,-6152.0,1212.0,19.3,53.97
2017-06-23,2378.6,1541.9,7791.0,3270.0,-6855.0,1488.0,20.1,54.04
2017-06-30,2391.79,1549.3,-214.0,3195.0,-5547.0,1074.0,20.1,53.94
2017-07-07,2379.87,1540.5,4035.0,2071.0,-4070.0,518.0,20.5,53.89
2017-07-14,2414.63,1571.2,9633.0,-2493.0,-3571.0,-3305.0,21.4,53.91
2017-07-21,2450.06,1592.9,-115.0,-4914.0,3500.0,8817.0,21.4,53.85
2017-07-28,2400.99,1559.5,-16327.0,-738.0,17108.0,15651.0,19.8,53.59
2017-08-04,2395.45,1553.0,-7221.0,-1654.0,7205.0,7221.0,19.1,53.91
2017-08-11,2319.71,1503.6,-8833.0,-3242.0,11114.0,8148.0,18.2,53.64
2017-08-18,2358.37,1532.8,-1814.0,1314.0,-281.0,2274.0,18.0,53.51
2017-08-25,2378.51,1544.8,1451.0,-3826.0,981.0,2825.0,18.1,53.43
2017-09-01,2357.69,1532.6,-4252.0,2206.0,790.0,554.0,17.7,53.38
2017-09-08,2343.72,1524.6,-4480.0,-4812.0,7766.0,5530.0,17.3,53.31
2017-09-15,2386.07,1552.3,-4535.0,-960.0,6645.0,4666.0,16.8,53.27
2017-09-22,2388.71,1555.3,106.0,2998.0,-3908.0,-2065.0,16.8,53.34
2017-09-29,2394.47,1558.2,-7976.0,-72.0,5257.0,4629.0,16.0,53.13
2017-10-13,2473.62,1610.2,17266.0,-4249.0,-12076.0,-4504.0,17.8,53.36
2017-10-20,2489.54,1619.6,532.0,249.0,-3376.0,3585.0,17.8,53.41
2017-10-27,2496.63,1624.4,3960.0,2804.0,-7897.0,302.0,18.2,53.42
2017-11-03,2557.97,1663.0,8252.0,-71.0,-9547.0,3528.0,19.0,53.71
2017-11-10,2542.95,1652.6,1881.0,5209.0,-6778.0,1427.0,19.2,53.67
2017-11-17,2533.99,1644.5,6093.0,-1297.0,-6113.0,6796.0,19.8,53.66
2017-11-24,2544.33,1652.4,4602.0,-6088.0,12.0,2412.0,20.3,53.54
2017-12-01,2475.41,1606.6,-15735.0,3300.0,8195.0,5645.0,18.7,53.21
2017-12-08,2464.0,1602.8,-6019.0,-3602.0,9501.0,9418.0,18.1,53.07
2017-12-15,2482.07,1614.1,-4331.0,-10911.0,13946.0,8002.0,17.7,52.95
2017-12-22,2440.54,1587.5,-6074.0,-17122.0,18668.0,17243.0,17.1,52.79
2017-12-29,2467.49,1605.8,863.0,-6414.0,5279.0,5183.0,17.2,52.74
2018-01-05,2497.52,1625.0,12442.0,-3772.0,-9565.0,-11282.0,18.4,52.83
2018-01-12,2496.42,1621.7,2137.0,-2517.0,-1561.0,-423.0,18.6,52.51
2018-01-19,2520.26,1637.8,3827.0,-918.0,-4807.0,-2218.0,19.0,52.56
2018-01-26,2574.76,1673.4,5800.0,-17274.0,9280.0,10106.0,19.6,52.5
2018-02-02,2525.39,1641.4,-12001.0,12903.0,-2180.0,-539.0,18.4,52.06
2018-02-09,2363.77,1567.3,-11522.0,20982.0,-10015.0,-18589.0,17.2,52.15
2018-02-16,2421.83,1608.0,3542.0,-2744.0,-924.0,-4514.0,17.6,52.27
2018-02-23,2451.52,1626.1,116.0,-1340.0,1205.0,-34.0,17.6,52.2
2018-03-02,2402.16,1593.9,-2670.0,3151.0,185.0,-1693.0,17.3,52.12
2018-03-09,2459.45,1633.4,-3106.0,-4088.0,7302.0,2819.0,17.0,52.25
2018-03-16,2493.97,1656.9,7678.0,-2973.0,-3370.0,-3604.0,17.8,52.41
2018-03-23,2416.76,1606.0,-1961.0,5440.0,-3801.0,289.0,17.6,52.36
2018-03-30,2445.85,1627.6,-7751.0,7013.0,4201.0,716.0,16.8,52.25
2018-04-06,2429.58,1617.4,-4239.0,6866.0,-2474.0,-1638.0,16.4,52.16
2018-04-13,2455.07,1636.6,5757.0,983.0,-720.0,-4894.0,17.0,52.2
2018-04-20,2476.33,1653.2,-2757.0,3064.0,110.0,1856.0,16.7,52.27
2018-04-27,2492.4,1664.4,-11633.0,14577.0,-3924.0,-1576.0,15.5,52.06
2018-05-04,2461.38,1645.2,-2663.0,11136.0,-8383.0,-4974.0,15.3,52.79
2018-05-11,2477.71,1655.5,-1056.0,-4309.0,3819.0,4162.0,15.2,52.77
2018-05-18,2460.65,1643.5,-6300.0,1102.0,4779.0,3248.0,14.5,52.69
2018-05-25,2460.8,1645.1,5615.0,-4602.0,-3141.0,-3732.0,15.1,52.76
2018-06-01,2438.96,1630.3,1127.0,17012.0,-20276.0,-7469.0,15.2,53.05
2018-06-08,2451.58,1638.2,2774.0,1863.0,-5296.0,-5176.0,15.5,53.04
2018-06-15,2404.04,1605.4,-11532.0,5023.0,6296.0,7926.0,14.3,52.8
2018-06-22,2357.22,1574.3,-5443.0,3122.0,1152.0,4030.0,13.8,52.69
2018-06-29,2326.13,1554.7,-3987.0,2635.0,1030.0,1230.0,13.4,52.62
2018-07-06,2272.87,1519.1,-1583.0,2541.0,-2297.0,1052.0,13.2,52.5
2018-07-13,2310.9,1543.9,3812.0,298.0,-2986.0,290.0,13.6,52.49
2018-07-20,2289.19,1531.7,-1102.0,6067.0,-4312.0,-793.0,13.5,52.51
2018-07-27,2294.99,1535.4,1722.0,-8295.0,7116.0,9082.0,13.7,52.48
2018-08-03,2287.68,1531.5,3541.0,1918.0,-7175.0,-4964.0,14.0,52.48
2018-08-10,2282.79,1526.7,813.0,528.0,-2355.0,1234.0,14.1,52.49
2018-08-17,2247.05,1502.3,-3256.0,2350.0,-1535.0,1277.0,13.8,52.47
2018-08-24,2293.21,1534.3,5118.0,-2685.0,-5640.0,-5218.0,14.3,52.52
2018-08-31,2322.88,1554.9,11135.0,-7318.0,-2457.0,-273.0,15.4,52.69
2018-09-07,2281.58,1525.1,-13577.0,7853.0,3364.0,3504.0,14.0,52.54
2018-09-14,2318.25,1549.5,-5486.0,-1094.0,5019.0,6654.0,13.5,52.41
2018-09-21,2339.17,1565.4,15954.0,-7035.0,-1382.0,-1391.0,15.1,52.55
2018-09-28,2343.07,1567.6,34.0,-57.0,-650.0,1927.0,15.1,52.57
2018-10-05,2267.52,1516.7,-11553.0,12166.0,-1212.0,2170.0,13.9,52.47
2018-10-12,2161.85,1448.0,-8180.0,3497.0,3854.0,2466.0,13.1,52.4
2018-10-19,2156.26,1444.0,-2628.0,7106.0,-4802.0,-3262.0,12.9,52.46
2018-10-26,2027.15,1357.7,-15427.0,2208.0,12618.0,15956.0,11.3,52.25
2018-11-02,2096.0,1405.3,5231.0,-9427.0,3361.0,-5451.0,11.8,52.29
2018-11-09,2086.09,1399.5,4133.0,7401.0,-12589.0,-9973.0,12.3,52.37
2018-11-16,2092.4,1403.2,-5875.0,-1037.0,6436.0,3046.0,11.7,52.32
2018-11-23,2057.48,1377.5,-7454.0,2819.0,3332.0,6436.0,10.9,52.18
2018-11-30,2096.86,1403.5,5401.0,-9350.0,4721.0,1907.0,11.5,52.11
2018-12-07,2075.76,1389.0,-1042.0,2309.0,-1724.0,3047.0,11.4,51.93
2018-12-14,2069.38,1362.2,-997.0,-608.0,964.0,8140.0,11.3,55.71
2018-12-21,2061.49,1357.4,-3638.0,-9319.0,13323.0,10704.0,10.9,55.56
2018-12-28,2041.04,1344.0,5084.0,-4723.0,-811.0,-3333.0,11.4,55.58
2019-01-04,2010.25,1323.7,-472.0,2666.0,-2444.0,-1860.0,11.4,55.66
2019-01-11,2075.57,1368.3,8651.0,-8227.0,-470.0,-4938.0,12.2,55.82
2019-01-18,2124.28,1401.2,6633.0,-6451.0,-237.0,-3485.0,12.9,55.98
2019-01-25,2177.73,1437.8,14109.0,-15641.0,1437.0,2385.0,14.3,56.23
2019-02-01,2203.46,1454.7,14082.0,-5389.0,-8862.0,-2531.0,15.7,56.67
2019-02-08,2177.05,1436.4,-1196.0,4008.0,-3235.0,-209.0,15.6,56.64
2019-02-15,2196.09,1449.3,-3507.0,-193.0,3057.0,6443.0,15.2,56.71
2019-02-22,2230.5,1472.6,6764.0,-9388.0,2360.0,3058.0,15.9,56.76
2019-03-01,2195.44,1448.8,-3379.0,-1942.0,5380.0,7145.0,15.6,56.79
2019-03-08,2137.44,1410.6,-4565.0,7541.0,-3088.0,4089.0,15.1,56.75
2019-03-15,2176.11,1437.0,710.0,-1921.0,899.0,5245.0,15.2,56.71
2019-03-22,2186.95,1446.8,8005.0,-3436.0,-4617.0,-4731.0,16.0,56.81
2019-03-29,2140.67,1417.2,-1145.0,3718.0,-3139.0,-2572.0,15.9,56.82
2019-04-05,2209.61,1463.2,10101.0,-15402.0,4342.0,1964.0,16.9,57.03
2019-04-12,2233.45,1479.3,10442.0,-8370.0,-1727.0,2926.0,17.9,57.16
2019-04-19,2216.15,1468.4,2177.0,2065.0,-3653.0,-1617.0,18.1,57.16
2019-04-26,2179.31,1445.3,641.0,6942.0,-7715.0,-6566.0,18.2,57.24
2019-05-03,2196.32,1456.7,2661.0,-1322.0,-1693.0,-2231.0,18.5,57.33
2019-05-10,2108.04,1397.9,-3122.0,14442.0,-11870.0,-10168.0,18.2,57.21
2019-05-17,2055.8,1361.6,-11673.0,8999.0,1979.0,-3077.0,17.0,57.07
2019-05-24,2045.31,1356.1,-1674.0,1140.0,548.0,-1201.0,16.8,57.19
2019-05-31,2041.74,1358.7,-10400.0,2027.0,8622.0,288.0,15.8,57.08
2019-06-07,2072.33,1380.1,-980.0,-1735.0,2592.0,-6623.0,15.7,57.08
2019-06-14,2095.41,1395.0,137.0,-4118.0,4317.0,-1167.0,15.7,57.11
2019-06-21,2125.62,1415.6,4071.0,-6120.0,4302.0,1780.0,16.1,57.16
2019-06-28,2130.62,1419.5,3855.0,-7728.0,3909.0,381.0,16.5,57.27
2019-07-05,2110.59,1406.0,1179.0,323.0,41.0,3274.0,16.6,57.38
2019-07-12,2086.66,1391.3,5881.0,-513.0,-5375.0,-3300.0,17.2,57.65
2019-07-19,2094.36,1396.3,4902.0,-5694.0,845.0,2264.0,17.7,57.74
2019-07-26,2066.26,1378.1,8085.0,-2711.0,-5357.0,-885.0,18.5,57.9
2019-08-02,1998.13,1331.7,-3741.0,-3740.0,7060.0,336.0,18.1,57.82
2019-08-09,1937.75,1292.3,-11265.0,-2565.0,12993.0,3042.0,17.0,57.6
2019-08-16,1927.17,1286.0,-3227.0,4468.0,-1968.0,-4534.0,16.7,57.56
2019-08-23,1948.3,1299.9,-2690.0,539.0,1346.0,-2903.0,16.4,57.49
2019-08-30,1967.79,1313.6,-1763.0,-3982.0,5191.0,-372.0,16.2,57.4
2019-09-06,2009.13,1341.6,-5432.0,-4470.0,9373.0,3741.0,15.7,57.33
2019-09-13,2049.2,1368.2,-356.0,-6993.0,7101.0,3489.0,15.7,57.38
2019-09-20,2091.52,1398.5,778.0,-5544.0,4841.0,-3505.0,15.7,57.49
2019-09-27,2049.93,1370.7,-3601.0,2896.0,307.0,4896.0,15.4,57.41
2019-10-04,2020.69,1351.4,-4045.0,3457.0,197.0,-779.0,15.0,57.42
2019-10-11,2044.61,1367.7,-973.0,-2255.0,2959.0,-1143.0,14.9,57.44
2019-10-18,2060.69,1378.8,-2582.0,-1918.0,3618.0,3051.0,14.6,57.49
2019-10-25,2087.89,1397.8,3132.0,-7202.0,3229.0,3938.0,14.9,57.49
2019-11-01,2100.2,1408.8,270.0,-1971.0,-745.0,829.0,14.9,57.51
2019-11-08,2137.23,1433.7,3697.0,-7201.0,2338.0,4444.0,15.3,57.6
2019-11-15,2162.18,1451.5,-5900.0,-3261.0,7541.0,8975.0,14.7,57.57
2019-11-22,2101.96,1411.5,-12662.0,8348.0,2008.0,3898.0,13.5,57.43
2019-11-29,2087.96,1401.9,-18265.0,4093.0,12395.0,11116.0,11.6,57.2
2019-12-06,2081.85,1398.8,-10813.0,3361.0,6105.0,3137.0,10.6,56.99
2019-12-13,2170.25,1458.8,11033.0,-22962.0,10691.0,12256.0,11.7,57.1
2019-12-20,2204.18,1481.3,11102.0,-12862.0,845.0,7534.0,12.8,57.13
2019-12-27,2204.21,1480.3,-1918.0,-7048.0,7944.0,6566.0,12.6,56.86
2020-01-03,2176.46,1462.3,-823.0,9278.0,-8598.0,-7628.0,12.5,56.85
2020-01-10,2206.39,1484.1,10321.0,2184.0,-12548.0,-11860.0,13.5,57.08
2020-01-17,2250.57,1515.3,5055.0,8097.0,-13932.0,-10381.0,14.0,57.15
2020-01-24,2246.13,1512.6,-3482.0,6689.0,-4041.0,-1880.0,13.7,57.17
2020-01-31,2119.01,1427.0,-11274.0,19819.0,-9580.0,-8232.0,12.6,57.19
2020-02-07,2211.95,1491.0,8161.0,4582.0,-13897.0,-17021.0,13.4,57.14
2020-02-14,2243.59,1511.3,-2446.0,2561.0,-1343.0,-238.0,13.1,57.19
2020-02-21,2162.84,1456.7,-4254.0,15992.0,-13966.0,-9224.0,12.7,57.14
2020-02-28,1987.01,1337.7,-34544.0,25837.0,6845.0,1886.0,9.2,56.62
2020-03-06,2040.22,1373.9,-16522.0,22796.0,-8118.0,-14332.0,7.6,56.42
2020-03-13,1771.44,1193.7,-50327.0,36651.0,9416.0,-1118.0,2.6,55.64
2020-03-20,1566.15,1054.9,-33856.0,28834.0,906.0,-4195.0,-0.8,55.37
2020-03-27,1717.73,1156.6,-19489.0,17757.0,-373.0,-4511.0,-2.8,54.93
2020-04-03,1725.44,1160.7,-19851.0,23526.0,-4098.0,-5705.0,-4.8,55.01
2020-04-10,1860.7,1251.4,-7656.0,3043.0,4515.0,-2833.0,-5.5,55.09
2020-04-17,1914.53,1287.9,-5738.0,889.0,3822.0,-1896.0,-6.1,55.2
2020-04-24,1889.01,1271.2,-13986.0,26004.0,-13082.0,-11981.0,-7.5,55.19
2020-05-01,1947.56,1309.2,1291.0,-9506.0,8040.0,4046.0,-7.4,55.25
2020-05-08,1945.82,1307.4,-15316.0,17102.0,-2700.0,-860.0,-8.9,55.04
2020-05-15,1927.28,1294.6,-18225.0,23423.0,-5627.0,-4818.0,-10.7,54.98
2020-05-22,1970.13,1324.3,-470.0,-1121.0,1385.0,-1023.0,-10.8,54.99
2020-05-29,2029.6,1363.5,-4822.0,-1569.0,5061.0,2494.0,-11.2,55.07
2020-06-05,2181.87,1466.8,2452.0,-24279.0,21977.0,19658.0,-11.0,55.13
2020-06-12,2132.3,1434.1,-4377.0,24505.0,-20263.0,-10029.0,-11.4,55.06
2020-06-19,2141.32,1441.1,-5353.0,12538.0,-6949.0,-2421.0,-12.0,55.09
2020-06-26,2134.65,1436.2,-1709.0,21279.0,-20753.0,-10025.0,-12.1,54.99
2020-07-03,2152.41,1456.8,-4642.0,1171.0,3619.0,4280.0,-12.6,55.11
2020-07-10,2150.25,1455.8,-13260.0,24739.0,-11087.0,-2867.0,-13.9,55.21
2020-07-17,2201.19,1490.2,3552.0,-2833.0,-73.0,3682.0,-13.6,55.37
2020-07-24,2200.44,1491.0,2521.0,11646.0,-13822.0,-3904.0,-13.3,55.5
2020-07-31,2249.37,1526.8,19271.0,-8235.0,-10396.0,-3054.0,-11.4,55.99
2020-08-07,2351.67,1598.0,-2885.0,20080.0,-17620.0,-5497.0,-11.7,55.94
2020-08-14,2407.49,1636.9,-9388.0,12801.0,-3325.0,11203.0,-12.6,55.9
2020-08-21,2304.59,1566.8,-2690.0,8689.0,-5809.0,2985.0,-12.9,55.97
2020-08-28,2353.8,1599.6,2969.0,4442.0,-8818.0,-6154.0,-12.6,55.97
2020-09-04,2368.25,1609.1,-23683.0,33330.0,-10580.0,-3981.0,-15.0,55.79
2020-09-11,2396.69,1630.5,-1603.0,16166.0,-15314.0,-4334.0,-15.1,55.99
2020-09-18,2412.4,1640.9,5980.0,973.0,-7495.0,-1466.0,-14.5,56.0
2020-09-25,2278.79,1551.9,-4323.0,17059.0,-10946.0,-6255.0,-15.0,55.92
2020-10-02,2327.89,1584.5,-1325.0,-2170.0,2926.0,3834.0,-15.1,55.86
2020-10-09,2391.96,1628.1,10117.0,-12664.0,2202.0,564.0,-14.1,56.02
2020-10-16,2341.53,1604.0,1290.0,9610.0,-7891.0,-777.0,-14.0,56.09
2020-10-23,2360.81,1618.1,189.0,-9676.0,9409.0,9949.0,-13.9,56.16
2020-10-30,2267.15,1553.0,-15415.0,25428.0,-10739.0,-10330.0,-15.5,56.0
2020-11-06,2416.5,1655.5,19721.0,-33412.0,13426.0,11540.0,-13.5,56.04
2020-11-13,2493.87,1710.4,23147.0,-19183.0,-3360.0,3928.0,-11.2,56.45
2020-11-20,2553.5,1752.1,10970.0,1957.0,-12394.0,-1274.0,-10.1,56.52
2020-11-27,2633.45,1808.2,20052.0,596.0,-19524.0,-3349.0,-8.1,56.54
2020-12-04,2731.45,1877.4,-8660.0,14646.0,-5733.0,4026.0,-9.0,56.41
2020-12-11,2770.06,1906.3,-22716.0,24370.0,-2338.0,13405.0,-11.2,56.14
2020-12-18,2772.18,1907.4,-10893.0,21158.0,-8885.0,1711.0,-12.3,55.95
2020-12-25,2806.86,1936.8,218.0,-9051.0,8607.0,11396.0,-12.3,55.88
2021-01-01,2873.47,1980.5,132.0,7593.0,-9472.0,2003.0,-12.3,55.72
2021-01-08,3152.18,2170.5,12409.0,17460.0,-32094.0,8458.0,-11.0,55.68
2021-01-15,3085.9,2127.9,-12191.0,98002.0,-86833.0,-35775.0,-12.3,55.53
2021-01-22,3140.63,2166.0,641.0,24715.0,-25769.0,1042.0,-12.2,55.43
2021-01-29,2976.21,2051.3,-53012.0,83207.0,-29131.0,-452.0,-17.5,55.06
2021-02-05,3120.63,2154.4,3056.0,12214.0,-14993.0,2054.0,-17.2,54.93
2021-02-12,3100.58,2140.2,1713.0,2636.0,-4793.0,3491.0,-17.0,54.82
2021-02-19,3107.62,2145.8,-6634.0,37226.0,-31129.0,-14344.0,-17.7,54.77
2021-02-26,3012.95,2079.8,-18217.0,32308.0,-2591.0,7826.0,-19.5,54.74
2021-03-05,3026.26,2089.5,-11065.0,21043.0,-9616.0,-2750.0,-20.6,54.7
2021-03-12,3054.39,2108.7,19379.0,-4217.0,-13832.0,281.0,-18.7,54.71
2021-03-19,3039.53,2113.2,-8618.0,23103.0,-14524.0,-5974.0,-19.5,54.74
2021-03-26,3041.01,2120.0,-12884.0,22494.0,-9967.0,4702.0,-20.8,54.58
2021-04-02,3112.8,2169.8,12407.0,-6664.0,-5882.0,-407.0,-19.6,54.73
2021-04-09,3131.88,2183.4,10319.0,12363.0,-22795.0,-12432.0,-18.6,54.79
2021-04-16,3198.62,2230.9,7627.0,6777.0,-11714.0,-1691.0,-17.8,54.81
2021-04-23,3186.1,2223.6,-15978.0,32964.0,-18140.0,-4845.0,-19.4,54.67
2021-04-30,3147.86,2196.6,-9494.0,19895.0,-7922.0,-554.0,-20.3,54.59
2021-05-07,3197.2,2231.8,-8068.0,2330.0,5771.0,4722.0,-21.1,54.46
2021-05-14,3153.32,2209.9,-63358.0,71982.0,-5965.0,-6009.0,-27.5,53.9
2021-05-21,3156.42,2211.9,-15939.0,9615.0,6047.0,8964.0,-29.1,53.74
2021-05-28,3188.73,2229.3,-2738.0,-19110.0,21803.0,19775.0,-29.3,53.64
2021-06-04,3240.08,2266.3,9135.0,-2770.0,-6221.0,-5441.0,-28.4,53.84
2021-06-11,3249.32,2272.9,1753.0,7199.0,-9333.0,-6354.0,-28.3,53.81
2021-06-18,3267.93,2285.6,-8624.0,21465.0,-12284.0,-5851.0,-29.1,53.73
2021-06-25,3302.84,2312.0,-3970.0,8123.0,-3955.0,4000.0,-29.5,53.57
2021-07-02,3281.78,2296.9,-5370.0,32812.0,-23019.0,-13298.0,-30.1,53.5
2021-07-09,3217.95,2253.7,-19451.0,35017.0,-16354.0,-7040.0,-32.0,53.47
2021-07-16,3276.91,2304.5,485.0,1678.0,-1556.0,789.0,-32.0,53.49
2021-07-23,3254.42,2289.0,-9573.0,7421.0,2164.0,9662.0,-32.9,53.33
2021-07-30,3202.32,2252.5,-16915.0,18250.0,-1272.0,5206.0,-34.6,53.17
2021-08-06,3270.36,2334.6,15474.0,-29952.0,14300.0,20252.0,-33.1,53.35
2021-08-13,3171.29,2285.4,-70261.0,89116.0,-14417.0,-3553.0,-40.1,52.12
2021-08-20,3060.51,2209.7,-12007.0,15319.0,-636.0,348.0,-41.3,51.76
2021-08-27,3133.9,2262.4,-4473.0,-8603.0,18368.0,10383.0,-41.7,51.64
