btc_regime,horizon_h,n,mean,median,win
btc_up,1,2911,-0.0010619661049357776,6.445790898546022e-05,0.5008588114050154
btc_up,6,2911,0.00206828851919567,0.00041094764527005445,0.5066987289591206
btc_up,24,2911,0.0006402133974523691,-0.001421464108031123,0.477499141188595
btc_up,72,2911,0.004973152295012273,-0.0006411398040960803,0.4867743043627619
btc_up,168,2911,-0.002161470095235409,-0.013385645049619255,0.43868086568189624
btc_up,336,2911,-0.011427746041682995,-0.03125,0.4094812779113707
btc_up,672,2911,-0.040384678858242505,-0.09170978751513814,0.32085194091377534
btc_down,1,461,0.004511930550409862,0.00020016012810253336,0.5162689804772235
btc_down,6,461,0.007407830340289742,0.0008056519583539146,0.5336225596529284
btc_down,24,456,0.007625700627214284,-4.999500049995831e-05,0.4956140350877193
btc_down,72,435,0.01346045814304476,-0.004942542938341843,0.4459770114942529
btc_down,168,411,0.0003762154670110127,-0.014156936628484162,0.41849148418491483
btc_down,336,401,0.009241951719641804,-0.02479770294962158,0.4014962593516209
btc_down,672,382,0.012314778243991199,-0.0428210488740538,0.35340314136125656
